,Name,Author,Link,Category,The Specific Category,State,Description
1,捕星之执宰星河,笨蛋老头,//book.qidian.com/info/1033523308,都市,异术超能,连载,遥望黑夜的星空，宇宙似乎总是一成不变。点点星光凝聚成一张巨大的丝网吞噬着星河万物。捕捉星河之上的奇异，铸造不灭的传奇，一切都从超级玩具工厂开始。
2,择日飞升,宅猪,//book.qidian.com/info/1032778366,仙侠,幻想修仙,连载,作为捕蛇者，许应一直老老实实勤恳本分，直到这一天，他捉到一条不一样的蛇……三月初一，神州大地，处处香火袅袅，守护着各个村落、乡镇、城郭、州郡的神像纷纷苏醒，享受黎民百姓的祭祀。然而，从这一天开始，天下已乱。本书又名《九九六修仙》《零零七也修真》《内卷》《卷到死》《谁TM也别想飞升》《好坑》《坑大坑深》《扶我起来》《三十五岁那年，我的福报来了》及《许大妖王现形记》等！
3,大梦主,忘语,//book.qidian.com/info/1016534035,仙侠,幻想修仙,连载,一个从小体弱多病的富商之子，在寻求续命之法时，意外走上了修仙登天之路！大唐盛世，天下安泰，风调雨顺，百姓安居。千年后世，魔物吞天，妖鬼横行，遍野哀鸣。西游再现，大圣斗天，天蓬下凡，卷帘重生。莫名的穿梭与轮回，虚实掩映，真幻交织！是预言中的梦境？还是尚未发生的现实？他能否打破命中注定的魔障，消弭还未发生的三界大劫，挽救苍生于水火？
4,开局我就想退出江湖,钵兰街肥龙,//book.qidian.com/info/1033992006,都市,都市生活,连载,这是一个主角想要做好人，边个不让他做好人，他就让边个做不成人的故事。
5,明克街13号,纯洁滴小龙,//book.qidian.com/info/1030870265,都市,异术超能,连载,我喜欢坐在夜晚空无一人的大街上，听着“他们”的窃窃私语，享受着“他们”的喧嚣。
6,不灭钢之魂,奇迹型MKIII,//book.qidian.com/info/1033225184,轻小说,原生幻想,连载,红色彗星：“阿姆罗·雷，欺负新兵算什么本事，有本事你出来面对我啊！”林有德摇头：“你要找的是开高达的阿姆罗·雷，跟我开敢达的李阿宝有什么关系？”舱门缓缓打开，绿色的光芒与黑暗中闪耀。林有德：“阿斯兰·萨拉，自由钢弹，出击！”推进器开始咆哮，红色的独角巨人带着白色尾焰，划破黑色的宇宙……——关键字：机战，高达，超级机器人大战，钢之魂
7,一万种清除玩家的方法,棉衣卫,//book.qidian.com/info/1031728889,仙侠,幻想修仙,连载,我穿越的世界遍布玩家，生存本就不易，而我更是被系统缠身，成了NPC中最耀眼的那个……土著看我不顺眼，玩家视我为眼中钉。为了在异世界美好的生活，为了不被玩家欺辱，我只能竭尽全力，把所经历的苦厄变成别人的苦厄，把所有的收获留给自己，茁壮成长，成为一个永远无法被玩家打败的BOSS……这是一本第四天灾被天灾的故事。已完结万订作品《万界圆梦师》，人品保证，请放心入坑。
8,不死的我实在是太强了,唐曹老师,//book.qidian.com/info/1027982552,玄幻,东方玄幻,连载,一个极尽璀璨的浩瀚世界，气修或体修，感悟铭刻法则只是修行之始。容万般法则，炼规则之道，直至概念尽头。摘星拿月，口吞日月星辰以果腹。踏碎时空轮回，拿捏命运因果。白东临身具“不死不灭、伤害逆转”两大逆天天赋，修无上真经，极尽体修之道，种无尽法则：力，灵魂，空间，吞噬，维度，痛苦，光，破灭，金木水火土，风雨雷电，冰，瘟疫，恐惧，愈合，引力，磁力……————白东临：“一切施加于我的伤害，只会让我变得更强！”
9,警察陆令,奉义天涯,//book.qidian.com/info/1031633183,都市,都市生活,连载,人格心理学硕士毕业当警察，是一种什么体验？人，可以貌相。对于真正的专家来说，普通人看几眼就能看穿，当然，看穿城府深沉的人难度要大很多。这是一个想研究心理学的人，莫名其妙地成为了破案专家的故事～～相比《警探长》，这本书更…爽一点…
10,什么叫六边形打野啊,这很科学啊,//book.qidian.com/info/1031785579,游戏,电子竞技,连载,{英雄联盟电竞文}团战、Gank、视野、操作、意识、英雄池……全部拉满！顾行用职业生涯诠释着，什么叫六边形打野！……18岁的顾行意外发现了自己的独特天赋，他原本只想利用暑期空闲时间赚点生活费，缓解一下家里的经济压力，却阴差阳错一头扎进了2016年的LPL。联赛内有横扫一切的EDG，异军突起的RNG，重组2.0版本的WE……联赛外强敌环伺，连续3年夺冠的LCK气势如虹，还在延续自己的宰治，欧美赛区蠢蠢欲动试图翻身，LPL依旧行走在漫无边际的黑暗中。但来都来了。在顾行踏上职业道路的这一刻开始，目标就只有冠军！从懵懂新人到队伍领袖，再到赛区乃至英雄联盟的标志，他一步步迈上巅峰！
