,Category,Num,Date
1,都市,23,2020-01
2,玄幻,20,2020-01
3,仙侠,13,2020-01
4,轻小说,10,2020-01
5,诸天无限,7,2020-01
6,科幻,6,2020-01
7,历史,6,2020-01
8,游戏,4,2020-01
9,军事,3,2020-01
10,体育,3,2020-01
11,奇幻,2,2020-01
12,悬疑,2,2020-01
13,现实,1,2020-01
14,都市,21,2020-02
15,玄幻,17,2020-02
16,仙侠,15,2020-02
17,历史,11,2020-02
18,轻小说,10,2020-02
19,诸天无限,7,2020-02
20,科幻,6,2020-02
21,游戏,3,2020-02
22,奇幻,3,2020-02
23,悬疑,2,2020-02
24,军事,2,2020-02
25,体育,2,2020-02
26,现实,1,2020-02
27,都市,22,2020-03
28,玄幻,18,2020-03
29,仙侠,11,2020-03
30,历史,11,2020-03
31,轻小说,11,2020-03
32,诸天无限,7,2020-03
33,科幻,5,2020-03
34,游戏,4,2020-03
35,奇幻,3,2020-03
36,军事,2,2020-03
37,悬疑,2,2020-03
38,体育,2,2020-03
39,武侠,1,2020-03
40,现实,1,2020-03
41,都市,21,2020-04
42,玄幻,15,2020-04
43,仙侠,14,2020-04
44,历史,11,2020-04
45,轻小说,8,2020-04
46,游戏,7,2020-04
47,诸天无限,7,2020-04
48,科幻,5,2020-04
49,军事,3,2020-04
50,体育,3,2020-04
51,悬疑,2,2020-04
52,奇幻,2,2020-04
53,现实,1,2020-04
54,武侠,1,2020-04
55,都市,21,2020-05
56,玄幻,18,2020-05
57,历史,14,2020-05
58,仙侠,11,2020-05
59,轻小说,9,2020-05
60,科幻,8,2020-05
61,游戏,6,2020-05
62,诸天无限,6,2020-05
63,悬疑,2,2020-05
64,体育,2,2020-05
65,奇幻,1,2020-05
66,现实,1,2020-05
67,军事,1,2020-05
68,都市,17,2020-06
69,玄幻,16,2020-06
70,历史,14,2020-06
71,仙侠,11,2020-06
72,轻小说,10,2020-06
73,诸天无限,10,2020-06
74,游戏,7,2020-06
75,科幻,5,2020-06
76,悬疑,4,2020-06
77,体育,2,2020-06
78,军事,2,2020-06
79,奇幻,1,2020-06
80,现实,1,2020-06
81,都市,19,2020-07
82,玄幻,17,2020-07
83,历史,13,2020-07
84,仙侠,12,2020-07
85,轻小说,11,2020-07
86,诸天无限,7,2020-07
87,游戏,6,2020-07
88,悬疑,6,2020-07
89,科幻,3,2020-07
90,体育,3,2020-07
91,奇幻,1,2020-07
92,现实,1,2020-07
93,武侠,1,2020-07
94,都市,18,2020-08
95,玄幻,16,2020-08
96,历史,14,2020-08
97,仙侠,13,2020-08
98,轻小说,12,2020-08
99,诸天无限,7,2020-08
100,悬疑,6,2020-08
101,游戏,5,2020-08
102,体育,4,2020-08
103,科幻,2,2020-08
104,奇幻,1,2020-08
105,现实,1,2020-08
106,军事,1,2020-08
107,都市,19,2020-09
